nombre,descripcion,precio
Pan Molto,"Masa de pan artesanal elaborado en nuestro horno de leña con salsas de la casa (tomatina, pesto, oliva y balsámico)",4.900
Caprese,"Tomate y albahaca frescos, con mozzarella de búfala, bañados en reducción de balsámico y salsa pesto de la casa",12.900
Carpaccio,"Finas laminas de res encostradas en pimienta negra sobre salsa pesto, acompañado de rúgula, mix de aceitunas y lajas de parmessano",13.900
Queso Parrilla,Queso asado al grill con salsa de frutos rojos y tostadas con oliva y hierbas aromáticas,13.900
Calamares Apanados,"Anillos de calamares apanados, acompañados de salsa olf, Tártara y salsa de la casa.",14.900
Burrata Molto,"Burrata de búfala con tomate cherry confitado, pesto y balsámico.",18.900
